xsec,nevents
3.45020E+07,1.00000E+04
3.48360E+07,1.00000E+04
3.41460E+07,1.00000E+04
3.45710E+07,1.00000E+04
3.40640E+07,1.00000E+04
3.37740E+07,1.00000E+04
3.43600E+07,1.00000E+04
3.44750E+07,1.00000E+04
3.43440E+07,1.00000E+04
3.40200E+07,1.00000E+04
3.45140E+07,1.00000E+04
3.38300E+07,1.00000E+04
3.42560E+07,1.00000E+04
3.42750E+07,1.00000E+04
3.44700E+07,1.00000E+04
3.45550E+07,1.00000E+04
3.44460E+07,1.00000E+04
3.42540E+07,1.00000E+04
3.44570E+07,1.00000E+04
3.43380E+07,1.00000E+04
3.42240E+07,1.00000E+04
3.44760E+07,1.00000E+04
3.42470E+07,1.00000E+04
3.44650E+07,1.00000E+04
3.41240E+07,1.00000E+04
3.45680E+07,1.00000E+04
3.45670E+07,1.00000E+04
3.43480E+07,1.00000E+04
3.41190E+07,1.00000E+04
3.41310E+07,1.00000E+04
3.45990E+07,1.00000E+04
3.44360E+07,1.00000E+04
3.41270E+07,1.00000E+04
3.45160E+07,1.00000E+04
3.42620E+07,1.00000E+04
3.41140E+07,1.00000E+04
3.43810E+07,1.00000E+04
3.43710E+07,1.00000E+04
3.43910E+07,1.00000E+04
3.46380E+07,1.00000E+04
3.43740E+07,1.00000E+04
3.44930E+07,1.00000E+04
3.43770E+07,1.00000E+04
3.45950E+07,1.00000E+04
3.45260E+07,1.00000E+04
3.44530E+07,1.00000E+04
3.43540E+07,1.00000E+04
3.46410E+07,1.00000E+04
3.44430E+07,1.00000E+04
3.46350E+07,1.00000E+04
3.40950E+07,1.00000E+04
3.42000E+07,1.00000E+04
3.26700E+07,1.00000E+04
3.40120E+07,1.00000E+04
3.42340E+07,1.00000E+04
3.44340E+07,1.00000E+04
3.46090E+07,1.00000E+04
3.35690E+07,1.00000E+04
3.45940E+07,1.00000E+04
3.41230E+07,1.00000E+04
3.37260E+07,1.00000E+04
3.45040E+07,1.00000E+04
3.44660E+07,1.00000E+04
3.40290E+07,1.00000E+04
3.40010E+07,1.00000E+04
3.47430E+07,1.00000E+04
3.42510E+07,1.00000E+04
3.46500E+07,1.00000E+04
3.43830E+07,1.00000E+04
3.43190E+07,1.00000E+04
3.40720E+07,1.00000E+04
3.44500E+07,1.00000E+04
3.45430E+07,1.00000E+04
3.42990E+07,1.00000E+04
3.41640E+07,1.00000E+04
3.45800E+07,1.00000E+04
3.48570E+07,1.00000E+04
3.43160E+07,1.00000E+04
3.43210E+07,1.00000E+04
3.43830E+07,1.00000E+04
3.44250E+07,1.00000E+04
3.40390E+07,1.00000E+04
3.43030E+07,1.00000E+04
3.43210E+07,1.00000E+04
3.46220E+07,1.00000E+04
3.44740E+07,1.00000E+04
3.48150E+07,1.00000E+04
3.45100E+07,1.00000E+04
3.46580E+07,1.00000E+04
3.40350E+07,1.00000E+04
3.47160E+07,1.00000E+04
3.38610E+07,1.00000E+04
3.35130E+07,1.00000E+04
3.45060E+07,1.00000E+04
3.48860E+07,1.00000E+04
3.44780E+07,1.00000E+04
3.44220E+07,1.00000E+04
3.45120E+07,1.00000E+04
3.40860E+07,1.00000E+04
3.43090E+07,1.00000E+04
3.37920E+07,1.00000E+04
3.42370E+07,1.00000E+04
3.42880E+07,1.00000E+04
3.38010E+07,1.00000E+04
3.41770E+07,1.00000E+04
3.40000E+07,1.00000E+04
3.43700E+07,1.00000E+04
3.45050E+07,1.00000E+04
3.42320E+07,1.00000E+04
3.39690E+07,1.00000E+04
3.42710E+07,1.00000E+04
3.44130E+07,1.00000E+04
3.41110E+07,1.00000E+04
3.40950E+07,1.00000E+04
3.36540E+07,1.00000E+04
3.41620E+07,1.00000E+04
3.44900E+07,1.00000E+04
3.41140E+07,1.00000E+04
3.46530E+07,1.00000E+04
3.44860E+07,1.00000E+04
3.35220E+07,1.00000E+04
3.44840E+07,1.00000E+04
3.41640E+07,1.00000E+04
3.42090E+07,1.00000E+04
3.46050E+07,1.00000E+04
3.41300E+07,1.00000E+04
3.43760E+07,1.00000E+04
3.43190E+07,1.00000E+04
3.45190E+07,1.00000E+04
3.38510E+07,1.00000E+04
3.40270E+07,1.00000E+04
3.42740E+07,1.00000E+04
3.42110E+07,1.00000E+04
3.45930E+07,1.00000E+04
3.45470E+07,1.00000E+04
3.46940E+07,1.00000E+04
3.39350E+07,1.00000E+04
3.43850E+07,1.00000E+04
3.43620E+07,1.00000E+04
3.36510E+07,1.00000E+04
3.45680E+07,1.00000E+04
3.43380E+07,1.00000E+04
3.41270E+07,1.00000E+04
3.48510E+07,1.00000E+04
3.43720E+07,1.00000E+04
3.44690E+07,1.00000E+04
3.45720E+07,1.00000E+04
3.50030E+07,1.00000E+04
3.45430E+07,1.00000E+04
3.36670E+07,1.00000E+04
3.45260E+07,1.00000E+04
3.45720E+07,1.00000E+04
3.44200E+07,1.00000E+04
3.42070E+07,1.00000E+04
3.42230E+07,1.00000E+04
3.43130E+07,1.00000E+04
3.43100E+07,1.00000E+04
3.39820E+07,1.00000E+04
3.46210E+07,1.00000E+04
3.43300E+07,1.00000E+04
3.41540E+07,1.00000E+04
3.35800E+07,1.00000E+04
3.46530E+07,1.00000E+04
3.43950E+07,1.00000E+04
3.41760E+07,1.00000E+04
3.41500E+07,1.00000E+04
3.37250E+07,1.00000E+04
3.42740E+07,1.00000E+04
3.42740E+07,1.00000E+04
3.38440E+07,1.00000E+04
3.44940E+07,1.00000E+04
3.45370E+07,1.00000E+04
3.48010E+07,1.00000E+04
3.39770E+07,1.00000E+04
3.34780E+07,1.00000E+04
3.36540E+07,1.00000E+04
3.41910E+07,1.00000E+04
3.43230E+07,1.00000E+04
3.38930E+07,1.00000E+04
