xsec,nevents
4.02610E+09,1.00000E+04
4.01800E+09,1.00000E+04
3.99720E+09,1.00000E+04
4.05260E+09,1.00000E+04
4.04650E+09,1.00000E+04
4.03400E+09,1.00000E+04
4.01890E+09,1.00000E+04
4.04510E+09,1.00000E+04
4.01870E+09,1.00000E+04
4.01710E+09,1.00000E+04
4.04310E+09,1.00000E+04
4.00620E+09,1.00000E+04
4.04330E+09,1.00000E+04
4.02260E+09,1.00000E+04
4.03170E+09,1.00000E+04
4.01530E+09,1.00000E+04
4.01530E+09,1.00000E+04
4.01320E+09,1.00000E+04
4.00600E+09,1.00000E+04
4.02550E+09,1.00000E+04
4.02750E+09,1.00000E+04
4.05280E+09,1.00000E+04
3.99480E+09,1.00000E+04
4.02560E+09,1.00000E+04
4.04460E+09,1.00000E+04
4.01550E+09,1.00000E+04
4.02630E+09,1.00000E+04
4.01320E+09,1.00000E+04
4.04750E+09,1.00000E+04
4.04910E+09,1.00000E+04
4.04320E+09,1.00000E+04
4.01830E+09,1.00000E+04
4.01760E+09,1.00000E+04
4.01780E+09,1.00000E+04
4.01240E+09,1.00000E+04
4.01130E+09,1.00000E+04
4.02100E+09,1.00000E+04
4.00330E+09,1.00000E+04
4.01920E+09,1.00000E+04
4.02080E+09,1.00000E+04
4.01780E+09,1.00000E+04
3.99720E+09,1.00000E+04
4.04190E+09,1.00000E+04
4.00220E+09,1.00000E+04
4.01880E+09,1.00000E+04
3.98770E+09,1.00000E+04
4.05550E+09,1.00000E+04
4.00090E+09,1.00000E+04
4.03820E+09,1.00000E+04
4.01080E+09,1.00000E+04
4.00290E+09,1.00000E+04
4.03440E+09,1.00000E+04
4.04470E+09,1.00000E+04
4.02880E+09,1.00000E+04
4.01700E+09,1.00000E+04
4.02290E+09,1.00000E+04
4.05460E+09,1.00000E+04
4.03300E+09,1.00000E+04
4.03840E+09,1.00000E+04
4.02490E+09,1.00000E+04
4.04700E+09,1.00000E+04
4.02570E+09,1.00000E+04
4.03970E+09,1.00000E+04
4.03460E+09,1.00000E+04
4.00790E+09,1.00000E+04
4.01720E+09,1.00000E+04
4.04050E+09,1.00000E+04
4.04480E+09,1.00000E+04
4.00870E+09,1.00000E+04
4.02600E+09,1.00000E+04
4.01360E+09,1.00000E+04
4.04700E+09,1.00000E+04
4.01820E+09,1.00000E+04
4.02360E+09,1.00000E+04
4.02360E+09,1.00000E+04
4.02940E+09,1.00000E+04
4.03940E+09,1.00000E+04
4.00910E+09,1.00000E+04
4.04020E+09,1.00000E+04
4.01430E+09,1.00000E+04
3.99530E+09,1.00000E+04
3.99650E+09,1.00000E+04
4.03020E+09,1.00000E+04
4.01820E+09,1.00000E+04
4.00460E+09,1.00000E+04
4.01420E+09,1.00000E+04
4.03040E+09,1.00000E+04
4.03150E+09,1.00000E+04
4.02530E+09,1.00000E+04
4.04820E+09,1.00000E+04
3.99140E+09,1.00000E+04
4.02990E+09,1.00000E+04
4.05200E+09,1.00000E+04
4.04070E+09,1.00000E+04
4.01070E+09,1.00000E+04
4.01090E+09,1.00000E+04
4.00880E+09,1.00000E+04
4.03460E+09,1.00000E+04
4.01850E+09,1.00000E+04
4.05130E+09,1.00000E+04
4.02700E+09,1.00000E+04
4.01770E+09,1.00000E+04
4.03420E+09,1.00000E+04
4.00670E+09,1.00000E+04
4.02890E+09,1.00000E+04
4.03070E+09,1.00000E+04
4.01930E+09,1.00000E+04
3.99690E+09,1.00000E+04
4.04030E+09,1.00000E+04
4.01350E+09,1.00000E+04
4.04200E+09,1.00000E+04
4.00800E+09,1.00000E+04
4.03590E+09,1.00000E+04
4.03060E+09,1.00000E+04
4.00640E+09,1.00000E+04
4.04070E+09,1.00000E+04
4.01030E+09,1.00000E+04
4.02670E+09,1.00000E+04
4.03540E+09,1.00000E+04
4.02470E+09,1.00000E+04
4.02970E+09,1.00000E+04
4.03250E+09,1.00000E+04
4.01990E+09,1.00000E+04
4.04330E+09,1.00000E+04
3.60460E+09,1.00000E+04
4.03060E+09,1.00000E+04
4.02930E+09,1.00000E+04
4.05800E+09,1.00000E+04
4.03000E+09,1.00000E+04
4.02590E+09,1.00000E+04
4.01770E+09,1.00000E+04
4.01730E+09,1.00000E+04
4.01600E+09,1.00000E+04
4.02840E+09,1.00000E+04
4.02210E+09,1.00000E+04
4.03630E+09,1.00000E+04
4.02110E+09,1.00000E+04
4.00770E+09,1.00000E+04
4.02620E+09,1.00000E+04
4.00420E+09,1.00000E+04
4.01970E+09,1.00000E+04
4.04510E+09,1.00000E+04
4.02570E+09,1.00000E+04
4.03610E+09,1.00000E+04
4.03660E+09,1.00000E+04
4.03990E+09,1.00000E+04
4.02170E+09,1.00000E+04
4.03130E+09,1.00000E+04
4.01020E+09,1.00000E+04
4.02900E+09,1.00000E+04
4.03040E+09,1.00000E+04
4.04280E+09,1.00000E+04
4.01240E+09,1.00000E+04
4.03190E+09,1.00000E+04
4.01420E+09,1.00000E+04
4.00150E+09,1.00000E+04
4.02800E+09,1.00000E+04
4.03040E+09,1.00000E+04
4.03790E+09,1.00000E+04
4.02050E+09,1.00000E+04
4.03940E+09,1.00000E+04
4.00750E+09,1.00000E+04
4.02730E+09,1.00000E+04
4.02230E+09,1.00000E+04
4.01430E+09,1.00000E+04
4.02090E+09,1.00000E+04
4.00420E+09,1.00000E+04
4.01070E+09,1.00000E+04
4.00300E+09,1.00000E+04
4.00580E+09,1.00000E+04
4.04100E+09,1.00000E+04
4.02320E+09,1.00000E+04
4.02720E+09,1.00000E+04
4.03720E+09,1.00000E+04
4.03170E+09,1.00000E+04
4.01530E+09,1.00000E+04
4.01700E+09,1.00000E+04
4.02200E+09,1.00000E+04
4.02880E+09,1.00000E+04
4.01620E+09,1.00000E+04
4.03150E+09,1.00000E+04
4.02510E+09,1.00000E+04
4.03980E+09,1.00000E+04
4.02900E+09,1.00000E+04
4.03930E+09,1.00000E+04
4.04350E+09,1.00000E+04
4.03000E+09,1.00000E+04
4.01290E+09,1.00000E+04
4.01840E+09,1.00000E+04
4.01950E+09,1.00000E+04
4.02950E+09,1.00000E+04
