xsec,nevents
1.13115E+11,1.00000E+04
1.12655E+11,1.00000E+04
1.12971E+11,1.00000E+04
1.12708E+11,1.00000E+04
1.12941E+11,1.00000E+04
1.13083E+11,1.00000E+04
1.13233E+11,1.00000E+04
1.12920E+11,1.00000E+04
1.13369E+11,1.00000E+04
1.12729E+11,1.00000E+04
1.13070E+11,1.00000E+04
1.12455E+11,1.00000E+04
1.12529E+11,1.00000E+04
1.12442E+11,1.00000E+04
1.12229E+11,1.00000E+04
1.13033E+11,1.00000E+04
1.13326E+11,1.00000E+04
1.13112E+11,1.00000E+04
1.12359E+11,1.00000E+04
1.12720E+11,1.00000E+04
1.13315E+11,1.00000E+04
1.12469E+11,1.00000E+04
1.11931E+11,1.00000E+04
1.13222E+11,1.00000E+04
1.12856E+11,1.00000E+04
1.10641E+11,1.00000E+04
1.13127E+11,1.00000E+04
1.10149E+11,1.00000E+04
1.11779E+11,1.00000E+04
1.12628E+11,1.00000E+04
1.12937E+11,1.00000E+04
1.12547E+11,1.00000E+04
1.11537E+11,1.00000E+04
1.13454E+11,1.00000E+04
1.12723E+11,1.00000E+04
1.13222E+11,1.00000E+04
1.11935E+11,1.00000E+04
1.12667E+11,1.00000E+04
1.12953E+11,1.00000E+04
1.12726E+11,1.00000E+04
1.13668E+11,1.00000E+04
1.12772E+11,1.00000E+04
1.11254E+11,1.00000E+04
1.12925E+11,1.00000E+04
1.13087E+11,1.00000E+04
1.13283E+11,1.00000E+04
1.12407E+11,1.00000E+04
1.12484E+11,1.00000E+04
1.12441E+11,1.00000E+04
1.12917E+11,1.00000E+04
1.12611E+11,1.00000E+04
1.13052E+11,1.00000E+04
1.12959E+11,1.00000E+04
1.09624E+11,1.00000E+04
1.12702E+11,1.00000E+04
4.97048E+10,1.00000E+04
1.10483E+11,1.00000E+04
1.12899E+11,1.00000E+04
1.12706E+11,1.00000E+04
1.12838E+11,1.00000E+04
1.13537E+11,1.00000E+04
1.12937E+11,1.00000E+04
1.09285E+11,1.00000E+04
1.12895E+11,1.00000E+04
1.12953E+11,1.00000E+04
1.11113E+11,1.00000E+04
1.12512E+11,1.00000E+04
1.11240E+11,1.00000E+04
1.11321E+11,1.00000E+04
1.13306E+11,1.00000E+04
1.13287E+11,1.00000E+04
1.12748E+11,1.00000E+04
1.12678E+11,1.00000E+04
1.12591E+11,1.00000E+04
1.12666E+11,1.00000E+04
1.12904E+11,1.00000E+04
1.02673E+11,1.00000E+04
1.12939E+11,1.00000E+04
1.12948E+11,1.00000E+04
1.11371E+11,1.00000E+04
1.12994E+11,1.00000E+04
1.11781E+11,1.00000E+04
1.12496E+11,1.00000E+04
1.12840E+11,1.00000E+04
1.12698E+11,1.00000E+04
1.12626E+11,1.00000E+04
4.66682E+10,1.00000E+04
1.12759E+11,1.00000E+04
1.13037E+11,1.00000E+04
1.12615E+11,1.00000E+04
1.13087E+11,1.00000E+04
1.12959E+11,1.00000E+04
1.13038E+11,1.00000E+04
1.13355E+11,1.00000E+04
1.13088E+11,1.00000E+04
1.13113E+11,1.00000E+04
1.10497E+11,1.00000E+04
1.12702E+11,1.00000E+04
1.12485E+11,1.00000E+04
1.12783E+11,1.00000E+04
1.12963E+11,1.00000E+04
1.12817E+11,1.00000E+04
1.12731E+11,1.00000E+04
1.13022E+11,1.00000E+04
1.13103E+11,1.00000E+04
1.13189E+11,1.00000E+04
1.13482E+11,1.00000E+04
1.09547E+11,1.00000E+04
1.10304E+11,1.00000E+04
1.11596E+11,1.00000E+04
1.11962E+11,1.00000E+04
1.12878E+11,1.00000E+04
1.12914E+11,1.00000E+04
1.12375E+11,1.00000E+04
1.11391E+11,1.00000E+04
1.12823E+11,1.00000E+04
1.12373E+11,1.00000E+04
1.13011E+11,1.00000E+04
1.12520E+11,1.00000E+04
1.12988E+11,1.00000E+04
